id,ticker,adjusted,Volume,Wap_volume,Open_price,Close_price,High_price,Low_price,Timestamp,Transactions
260,SPY,True,151746311.0,410.5178,411.1,411.34,414.8,405.73,2022-05-06 04:00:00,1531002
261,SPY,True,155571067.0,401.9209,405.1,398.17,406.41,396.5,2022-05-09 04:00:00,1422451
262,SPY,True,132497200.0,399.8401,404.49,399.09,406.08,394.82,2022-05-10 04:00:00,1467481
263,SPY,True,142360992.0,397.438,398.07,392.75,404.04,391.96,2022-05-11 04:00:00,1530065
264,SPY,True,125090753.0,389.9946,389.37,392.34,395.8,385.15,2022-05-12 04:00:00,1485883
265,SPY,True,104060921.0,399.8724,396.71,401.72,403.18,395.61,2022-05-13 04:00:00,859058
266,SPY,True,78582794.0,400.6442,399.98,400.09,403.97,397.6,2022-05-16 04:00:00,734539
267,SPY,True,82720710.0,405.7484,406.53,408.32,408.57,402.5824,2022-05-17 04:00:00,743971
268,SPY,True,117669645.0,396.0277,403.5,391.86,403.8,390.55,2022-05-18 04:00:00,967497
269,SPY,True,98477715.0,390.3546,388.62,389.46,394.14,387.11,2022-05-19 04:00:00,937782
270,SPY,True,131137197.0,387.0485,393.25,389.63,397.03,380.54,2022-05-20 04:00:00,1100341
271,SPY,True,76371878.0,395.1774,392.83,396.92,397.73,390.38,2022-05-23 04:00:00,714909
272,SPY,True,91380131.0,391.5536,392.56,393.89,395.15,386.96,2022-05-24 04:00:00,804223
273,SPY,True,91397866.0,395.7817,392.31,397.37,399.45,391.89,2022-05-25 04:00:00,768574
274,SPY,True,82123839.0,404.2641,398.67,405.31,407.04,398.45,2022-05-26 04:00:00,606434
275,SPY,True,84769855.0,412.4828,407.91,415.26,415.3801,407.7,2022-05-27 04:00:00,603517
276,SPY,True,95936980.0,413.3975,413.55,412.93,416.46,410.03,2022-05-31 04:00:00,713844
277,SPY,True,86565813.0,410.7886,415.17,409.59,416.24,406.93,2022-06-01 04:00:00,697746
278,SPY,True,79409633.0,413.3725,409.42,417.39,417.44,407.04,2022-06-02 04:00:00,616249
279,SPY,True,71874281.0,411.8587,412.4,410.54,414.04,409.51,2022-06-03 04:00:00,577277
280,SPY,True,57503038.0,413.0568,414.78,411.79,416.609,410.5523,2022-06-06 04:00:00,473552
281,SPY,True,59259373.0,412.9883,408.1,415.74,416.22,407.61,2022-06-07 04:00:00,481780
282,SPY,True,64349966.0,412.7375,413.93,411.22,415.82,410.38,2022-06-08 04:00:00,505047
283,SPY,True,86249796.0,406.8426,409.34,401.44,411.74,401.44,2022-06-09 04:00:00,580040
284,SPY,True,131723864.0,392.8831,394.88,389.8,395.7777,389.75,2022-06-10 04:00:00,914118
285,SPY,True,169975861.0,378.6775,379.85,375.0,381.81,373.3,2022-06-13 04:00:00,1138048
286,SPY,True,104007431.0,374.3226,376.85,373.87,377.94,370.59,2022-06-14 04:00:00,826153
287,SPY,True,125666797.0,378.0522,377.36,379.2,383.9,372.12,2022-06-15 04:00:00,1079873
288,SPY,True,134219538.0,368.4679,370.51,366.65,370.94,364.0799,2022-06-16 04:00:00,911464
289,SPY,True,111113904.0,366.2577,365.51,365.86,369.38,362.17,2022-06-17 04:00:00,826497
290,SPY,True,76811861.0,374.3771,371.89,375.07,376.525,371.81,2022-06-21 04:00:00,581110
291,SPY,True,90059424.0,375.1498,370.62,374.39,378.72,370.18,2022-06-22 04:00:00,607593
292,SPY,True,79292135.0,376.2289,376.64,378.06,378.83,372.89,2022-06-23 04:00:00,632097
293,SPY,True,97948933.0,386.7175,381.4,390.08,390.09,381.365,2022-06-24 04:00:00,632670
294,SPY,True,65955617.0,389.0839,391.05,388.59,391.36,387.44,2022-06-27 04:00:00,555367
295,SPY,True,86680824.0,384.908,390.23,380.65,393.16,380.53,2022-06-28 04:00:00,643730
296,SPY,True,65583999.0,380.3919,381.23,380.34,382.27,378.42,2022-06-29 04:00:00,522698
297,SPY,True,112503273.0,377.0747,376.24,377.25,380.6582,372.56,2022-06-30 04:00:00,805230
